,amon,brp,cac,Cadps,Fife,Liprin-alpha,Pdf,Rab27,Rab3,Rbp,RhoGAP100F,Rim,Snap25,Syb,Syt1,Syt12,Syt14,Syt4,Syt7,Sytalpha,Sytbeta,Syx13,Syx16,Syx17,Syx18,Syx4,Syx5,Syx6,Syx7,Syx8,unc-13,date,experiment,exp_time
20190228_CLK856_LD_ZT10_AR03_AGGATC,7,5,3,3,1,0,1,0,3,4,1,5,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGTGAG,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGTGCA,2,0,0,0,0,0,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGTGTC,0,6,8,10,1,1,3,0,2,2,5,0,0,0,7,1,0,7,3,2,2,0,0,2,0,0,0,1,0,0,1,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CAACAG,1,1,2,0,1,0,9,0,2,0,1,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CAACCA,25,4,5,10,4,0,5,0,7,3,4,3,1,0,14,0,0,12,7,2,1,2,0,0,0,0,0,2,6,0,17,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CAACTC,1,0,2,2,0,0,4,0,0,1,0,2,2,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CACTAG,0,0,0,0,0,0,1,0,0,1,3,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CACTCA,0,3,2,7,4,2,9,0,8,3,2,11,20,1,32,0,0,5,8,3,4,3,1,0,0,0,0,0,0,0,44,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CACTTC,2,2,6,5,1,0,3,0,0,0,0,3,2,0,5,0,0,5,0,4,1,0,0,0,0,0,1,0,1,0,4,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CAGAAG,13,8,6,7,4,3,10,0,16,16,9,8,10,0,52,1,0,28,22,4,1,0,0,0,0,0,2,1,2,0,53,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CAGACA,10,1,32,18,9,0,4,1,10,14,12,16,1,0,49,0,0,11,5,2,6,0,0,0,0,0,0,3,5,0,33,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CAGATC,8,1,7,3,1,0,3,0,2,5,3,12,8,0,17,0,3,3,3,1,15,0,0,0,0,0,0,3,0,0,20,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CATGAG,2,8,22,14,0,3,3,0,4,2,0,11,5,0,50,0,0,6,0,0,1,0,0,0,3,1,1,0,0,0,11,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CATGCA,5,0,7,12,4,0,2,0,6,2,1,2,7,0,8,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,6,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CATGTC,14,5,10,20,8,0,3,1,13,8,3,14,20,0,34,0,0,10,15,0,9,0,1,0,0,0,0,0,1,0,17,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTAGAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTAGGA,6,7,12,14,14,2,7,0,18,18,9,10,20,0,38,0,0,15,17,8,10,0,0,0,0,2,1,0,2,0,52,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTAGTG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTCAAC,9,3,2,3,4,0,9,0,2,2,4,8,2,0,12,0,0,6,8,1,2,0,0,0,0,0,0,0,0,1,18,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTCAGA,0,1,3,2,7,1,4,0,0,5,1,6,2,0,4,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,7,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTCATG,50,6,33,9,122,2,1052,0,31,5,11,27,4,0,50,0,1,19,9,1,44,0,1,2,0,0,0,0,0,3,35,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTGTAC,22,11,11,7,9,1,3,0,6,13,3,11,9,0,46,0,0,16,11,0,13,0,0,0,0,0,1,1,1,2,71,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTGTGA,24,7,16,17,3,11,9,0,31,15,19,21,11,0,63,1,0,22,19,11,23,2,2,0,0,0,0,3,4,5,51,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTGTTG,17,38,28,22,15,4,3,0,23,27,10,25,36,0,121,0,0,8,20,0,2,3,0,2,0,0,0,0,1,2,125,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTTCAC,25,23,7,11,14,8,13,0,21,15,6,9,11,0,77,1,2,14,13,4,22,2,0,0,0,0,2,2,0,1,51,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTTCGA,14,3,4,2,9,2,6,0,1,6,4,19,1,0,9,0,0,7,2,4,2,0,0,0,0,0,0,1,3,0,19,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_CTTCTG,48,52,34,23,68,16,13,0,65,27,19,67,63,0,328,6,1,101,60,3,13,1,1,1,0,0,2,8,13,1,96,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GAAGAC,4,6,10,14,4,0,9,0,1,3,3,4,20,0,62,2,0,3,6,0,0,0,0,0,0,0,0,2,0,0,14,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GAAGGA,15,8,11,12,13,2,3,0,22,2,4,22,12,0,45,0,0,31,13,5,8,0,0,0,0,0,0,1,1,0,37,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GAAGTG,3,4,9,12,6,1,5,0,8,20,5,20,19,0,91,0,0,12,10,1,4,5,0,0,0,0,1,3,3,1,80,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GACAAC,11,10,25,15,75,11,1107,2,12,19,17,34,2,0,40,0,0,21,8,0,39,0,1,1,0,1,0,0,4,0,40,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GACAGA,28,14,6,12,8,1,5,0,18,10,2,17,27,0,81,0,0,18,38,0,4,2,0,0,0,0,1,1,6,3,22,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GACATG,4,20,20,7,3,1,10,0,9,10,11,16,6,0,39,0,0,11,15,3,2,0,0,0,0,1,0,3,1,0,63,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GAGTAC,33,11,23,15,46,4,1069,0,43,7,17,39,9,0,40,0,0,26,2,5,31,0,2,0,0,0,3,3,6,0,65,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GAGTGA,0,1,2,1,0,0,1,0,0,1,0,2,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GAGTTG,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-02-28,LD,ZT10
