,DIP-gamma,DIP-beta,DIP-delta,DIP-theta,Idents,date,experiment,exp_time
20181231_CLK856_LD_ZT02_AR03_ACAGTG,0,0,42,0,12:LNd,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_ACGTAC,1,0,0,0,20:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_ACGTTG,1,1,0,3,15:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_ACTCAC,0,0,1,2,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_ACTCGA,0,0,27,0,8:LN_ITP,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_AGACAG,0,4,1,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_AGACCA,0,0,2,2,19:DN2,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_AGTGTC,0,5,2,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_CACTTC,0,0,1,3,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_CAGACA,0,7,1,7,7:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_CTCAAC,0,3,0,2,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_CTGTTG,0,2,0,4,7:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_CTTCGA,0,7,1,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_GAAGTG,1,1,1,0,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_GACATG,0,0,5,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_GAGTAC,1,0,77,0,8:LN_ITP,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_GTACAG,2,1,1,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_GTGAAG,0,0,0,3,18:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_GTTGAG,0,0,0,1,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_GTTGCA,0,2,68,0,8:LN_ITP,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TCACAG,1,0,1,1,15:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TCACTC,4,1,7,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TCCTAG,2,0,1,1,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TCGACA,0,0,6,0,29:LPN,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TCTGAG,0,1,2,0,9:LNd_NPF,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TCTGTC,1,5,1,5,7:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TGAGAC,0,1,1,4,7:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TGAGGA,0,0,0,1,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TGCAGA,0,1,2,0,9:LNd_NPF,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TGGTAC,0,0,3,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TGTCAC,5,3,3,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TGTCGA,0,0,0,0,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR03_TGTCTG,0,0,0,0,12:LNd,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_ACCAAC,0,1,0,6,18:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_ACCATG,0,1,0,0,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_ACGTAC,1,0,2,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_ACTCTG,1,0,5,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_AGACAG,0,0,0,6,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_AGACCA,0,2,1,0,15:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_AGCTTC,0,0,1,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_AGGATC,0,0,0,0,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_AGTGCA,0,0,8,1,12:LNd,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CAACCA,0,0,4,1,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CACTTC,1,0,0,6,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CAGACA,0,5,1,3,7:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CATGAG,0,3,1,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CATGCA,0,2,0,0,25:l_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CTAGGA,0,0,0,3,19:DN2,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CTTCAC,0,2,58,0,8:LN_ITP,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_CTTCTG,0,0,10,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GAGTAC,0,0,0,1,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GATCTG,0,0,0,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTACAG,1,0,0,4,19:DN2,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTACTC,0,0,0,4,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTCTCA,0,0,3,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTCTTC,0,8,1,1,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTGAAG,0,1,0,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTGACA,0,7,0,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTGATC,0,0,0,2,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_GTTGTC,0,0,1,0,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TCACTC,0,0,0,10,18:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TCCTAG,0,1,0,1,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TCCTCA,0,1,1,1,15:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TCCTTC,0,0,34,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TCTGTC,0,10,1,1,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TGAGAC,0,0,22,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TGCAAC,0,1,0,1,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TGCATG,0,0,9,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR04_TGTCGA,0,0,1,1,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_ACAGAC,0,1,21,1,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_ACAGGA,0,0,61,0,8:LN_ITP,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_ACAGTG,0,6,1,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_ACGTAC,0,0,5,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_ACTCAC,0,1,9,0,9:LNd_NPF,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_AGACAG,1,0,2,1,15:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_AGGACA,0,0,0,0,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_AGGATC,0,0,6,0,9:LNd_NPF,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_AGTGTC,1,0,0,0,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_CAACAG,0,0,1,0,15:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_CAACTC,3,0,0,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_CACTCA,3,22,2,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_CTAGAC,0,4,0,1,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_CTAGGA,0,0,0,1,19:DN2,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_CTCAGA,0,0,2,2,7:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_CTTCAC,0,0,0,0,19:DN2,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GAAGGA,0,1,2,5,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GAAGTG,0,0,9,0,12:LNd,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GACAAC,0,0,3,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GAGTAC,0,1,0,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GATCGA,0,1,0,5,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GATCTG,0,13,0,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GTACAG,0,1,1,0,25:l_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GTCTCA,0,0,13,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GTGAAG,0,5,0,0,3:DN1a,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GTGACA,0,0,0,0,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_GTGATC,0,0,0,1,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_TCACAG,0,0,0,0,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_TCACTC,0,0,0,3,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_TCGACA,1,0,3,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_TCTGAG,1,0,5,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_TGAGTG,0,0,0,4,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_TGCAAC,1,1,30,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR05_TGTCAC,2,0,7,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_ACTCAC,0,0,0,0,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_ACTCGA,1,0,1,0,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_ACTCTG,1,0,13,1,12:LNd,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_AGACAG,1,0,1,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_AGCTCA,2,0,16,0,12:LNd,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_AGGATC,1,0,0,0,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CAACAG,5,0,0,4,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CAGAAG,1,1,0,0,20:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CAGACA,2,1,0,5,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CAGATC,1,0,0,2,19:DN2,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CTAGAC,1,0,1,0,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CTAGGA,2,0,3,0,5:LNd_Trissin,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CTAGTG,1,0,1,0,15:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CTCAGA,0,0,1,2,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CTCATG,1,0,0,0,20:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CTGTGA,1,0,0,5,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_CTTCTG,0,0,1,13,18:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GAAGAC,0,0,1,0,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GACAGA,0,1,1,0,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GATCGA,0,0,56,0,8:LN_ITP,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GATCTG,1,1,18,0,9:LNd_NPF,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GTACCA,1,7,2,8,7:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GTCTAG,0,1,0,2,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GTCTTC,1,0,0,7,1:DN1p_CNMa,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GTGATC,0,2,0,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GTTGAG,0,0,1,0,20:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_GTTGTC,0,1,4,1,4:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_TCACCA,0,14,2,0,2:s_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_TCGAAG,0,0,0,0,14:DN3,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_TCGATC,1,0,11,0,25:l_LNv,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_TCTGCA,6,0,0,2,6:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_TGCAAC,0,0,4,0,12:LNd,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_TGGTAC,1,0,0,5,18:DN1p,2018-12-31,LD,ZT02
20181231_CLK856_LD_ZT02_AR06_TGGTTG,1,0,0,0,6:DN1p,2018-12-31,LD,ZT02
20190228_CLK856_LD_ZT06_AR02_ACAGAC,0,0,15,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_ACAGGA,0,0,5,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_AGACCA,0,0,11,0,8:LN_ITP,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_AGTGAG,0,0,7,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_AGTGCA,0,0,0,1,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CAACCA,0,0,1,0,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CACTCA,3,0,13,1,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CACTTC,1,0,0,1,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CTAGAC,2,0,3,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CTAGGA,1,0,0,0,20:DN3,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CTAGTG,7,2,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CTGTAC,0,0,5,0,25:l_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_CTGTTG,0,0,0,0,14:DN3,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GAAGGA,0,0,0,0,15:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GAAGTG,0,1,0,2,7:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GACAGA,0,0,0,1,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GACATG,0,0,15,0,8:LN_ITP,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GAGTAC,0,0,43,0,8:LN_ITP,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GATCGA,2,0,2,0,25:l_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GATCTG,0,0,0,1,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GTACCA,0,0,0,2,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GTACTC,0,10,3,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GTCTAG,0,0,2,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GTCTTC,0,1,12,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GTGACA,0,2,0,4,7:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_GTTGAG,0,0,0,0,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TCACCA,0,0,0,1,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TCACTC,0,0,6,0,12:LNd,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TCCTAG,0,0,0,6,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TCGAAG,0,0,2,5,7:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TCGATC,0,15,1,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TGAGAC,0,0,1,0,20:DN3,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TGAGGA,0,1,0,0,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TGCAAC,2,0,1,1,15:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TGCATG,0,2,34,0,8:LN_ITP,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR02_TGGTAC,5,1,0,1,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_ACAGAC,1,0,0,0,19:DN2,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_ACCAGA,5,3,2,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_ACTCAC,0,0,0,0,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_AGACAG,0,0,0,5,7:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_AGGACA,0,0,1,1,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_AGTGAG,0,0,3,0,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_CAACCA,0,0,2,0,14:DN3,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_CAACTC,0,1,0,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_CACTCA,0,0,0,0,6:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_CAGAAG,0,0,1,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_CAGACA,0,0,1,0,20:DN3,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_CTCAAC,0,0,0,0,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_CTGTTG,0,2,1,0,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GAAGGA,5,1,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GACAAC,0,0,0,6,18:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GACATG,0,0,2,0,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GAGTAC,0,0,0,0,20:DN3,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GATCGA,0,0,1,0,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GATCTG,0,0,33,0,8:LN_ITP,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GTCTTC,0,0,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GTGAAG,0,1,2,0,12:LNd,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_GTTGTC,6,0,29,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_TCACCA,0,0,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_TCCTCA,0,1,32,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_TCCTTC,1,38,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_TCTGTC,0,1,1,0,12:LNd,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_TGAGGA,0,0,1,0,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR04_TGGTGA,0,0,0,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_ACCATG,0,0,0,0,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_ACGTAC,0,0,1,0,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_ACTCGA,0,0,3,0,12:LNd,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_AGACCA,0,0,1,0,12:LNd,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_AGGAAG,0,0,11,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_AGTGTC,0,0,1,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CAACCA,0,1,0,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CAACTC,0,10,0,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CACTCA,0,0,0,3,19:DN2,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CACTTC,0,16,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CAGAAG,0,6,0,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CAGACA,2,0,2,0,15:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CATGTC,0,0,15,0,8:LN_ITP,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CTAGAC,1,0,22,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CTCAAC,2,1,0,0,6:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CTGTAC,0,0,11,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CTGTTG,1,1,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_CTTCAC,0,0,0,0,1:DN1p_CNMa,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GAAGGA,0,1,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GACAAC,0,0,22,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GATCAC,0,0,25,0,8:LN_ITP,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GATCTG,0,0,3,1,4:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GTACAG,1,2,0,3,7:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GTACCA,0,0,41,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GTACTC,0,1,0,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GTGATC,0,1,4,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_GTTGCA,0,1,5,0,5:LNd_Trissin,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TCACAG,0,0,0,0,29:LPN,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TCACCA,0,0,5,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TCCTTC,0,1,0,0,20:DN3,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TCGACA,1,0,7,0,9:LNd_NPF,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TCGATC,0,0,0,4,6:DN1p,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TCTGAG,0,0,0,0,2:s_LNv,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TGCAAC,0,2,1,0,3:DN1a,2019-02-28,LD,ZT06
20190228_CLK856_LD_ZT06_AR06_TGCAGA,2,1,1,0,2:s_LNv,2019-02-28,LD,ZT06
