,DIP-gamma,DIP-beta,DIP-delta,DIP-theta,Idents,date,experiment,exp_time
20190702_CLK856_DD_CT02_AR13_CACTTC,0,0,0,0,4:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_CAGATC,0,0,2,2,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_CATGTC,0,2,0,1,3:DN1a,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_CTCAGA,0,1,0,3,15:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_CTCATG,0,0,4,0,9:LNd_NPF,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_CTTCAC,0,0,1,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_CTTCTG,4,0,13,0,5:LNd_Trissin,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_GAAGAC,0,0,1,0,3:DN1a,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_GACATG,0,0,0,0,2:s_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_GATCGA,0,0,5,0,5:LNd_Trissin,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_GTGAAG,0,0,3,0,12:LNd,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_GTGACA,0,0,0,0,19:DN2,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_GTGATC,2,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_GTTGTC,2,0,0,0,2:s_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_TCACCA,0,1,0,6,18:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_TCACTC,0,0,0,0,2:s_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_TCCTCA,6,0,2,0,14:DN3,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR13_TCGAAG,0,0,2,0,4:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_ACCATG,0,1,6,0,5:LNd_Trissin,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_ACGTGA,1,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_ACTCTG,0,1,0,0,3:DN1a,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_AGCTTC,3,1,0,0,2:s_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_AGGACA,4,0,0,0,3:DN1a,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_AGGATC,2,0,7,0,5:LNd_Trissin,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_AGTGTC,0,0,12,0,8:LN_ITP,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_CACTCA,0,1,3,0,14:DN3,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_CAGACA,0,0,5,1,12:LNd,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_CAGATC,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_CATGAG,0,0,0,0,4:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_CATGTC,0,0,4,0,12:LNd,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_CTAGTG,0,1,15,0,8:LN_ITP,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_CTGTAC,0,0,0,1,9:LNd_NPF,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_GACAGA,3,0,0,0,6:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_GACATG,0,0,0,1,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_GATCAC,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_GATCGA,0,1,0,0,25:l_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_GATCTG,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_GTTGCA,1,0,0,1,6:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_TCACTC,0,0,0,0,19:DN2,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_TCTGAG,0,0,3,0,8:LN_ITP,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_TGAGAC,0,0,1,1,2:s_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR14_TGCATG,0,0,0,1,14:DN3,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_ACGTAC,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_ACTCGA,1,0,2,1,8:LN_ITP,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_CAGAAG,0,0,0,4,29:LPN,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_CATGAG,0,0,0,0,9:LNd_NPF,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_CTAGTG,0,0,0,5,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_CTTCGA,0,0,0,0,19:DN2,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_GACAAC,1,0,1,0,4:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_GATCAC,0,0,0,0,3:DN1a,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_GTCTTC,0,0,1,2,7:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_GTGATC,0,1,0,7,7:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_GTTGAG,0,0,0,0,29:LPN,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_TCCTCA,0,0,0,2,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_TGCAGA,0,0,1,3,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR15_TGCATG,0,2,0,2,7:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_ACCATG,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_AGACAG,0,0,0,1,1:DN1p_CNMa,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_AGTGAG,0,0,6,0,5:LNd_Trissin,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_CAACCA,0,0,0,0,29:LPN,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_CACTCA,0,0,0,4,18:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_CAGACA,0,0,0,0,2:s_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_CTCAGA,0,0,0,0,29:LPN,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_CTTCGA,0,0,0,0,2:s_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_GAAGTG,0,0,1,0,4:DN1p,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_GACAAC,0,0,0,0,25:l_LNv,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_GTTGTC,1,0,6,0,5:LNd_Trissin,2019-07-02,DD,CT02
20190702_CLK856_DD_CT02_AR16_TGCAAC,0,0,0,2,6:DN1p,2019-07-02,DD,CT02
20190710_CLK856_DD_CT06_AR01_ACAGTG,2,0,0,1,6:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_ACCAGA,0,0,0,0,6:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_ACTCAC,0,0,4,0,9:LNd_NPF,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_ACTCGA,0,0,4,1,9:LNd_NPF,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_AGGAAG,1,0,7,0,4:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_CAACCA,1,5,0,0,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_CACTTC,3,0,0,0,20:DN3,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_CTCATG,0,0,0,0,12:LNd,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_GAAGGA,0,10,0,0,3:DN1a,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_GAAGTG,0,2,19,0,8:LN_ITP,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_GTACAG,0,0,0,0,15:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_GTCTTC,0,0,0,1,18:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_TCCTCA,0,0,46,0,5:LNd_Trissin,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR01_TGGTTG,0,0,0,0,7:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_ACAGGA,0,2,2,0,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_ACCAAC,1,0,8,1,9:LNd_NPF,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_CACTCA,3,20,0,0,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_CACTTC,0,4,0,0,4:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_CTGTTG,13,2,0,1,14:DN3,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_GAAGAC,0,0,0,0,15:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_GAAGGA,0,0,0,2,15:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_GACAGA,0,0,0,10,19:DN2,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_GAGTTG,0,1,2,0,12:LNd,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TCCTTC,3,30,0,1,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TCGACA,0,0,0,0,15:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TGAGGA,0,1,0,3,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TGCAGA,0,0,0,0,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TGCATG,4,4,0,0,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TGGTTG,0,2,0,0,3:DN1a,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TGTCGA,0,1,0,2,15:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR02_TGTCTG,0,0,0,0,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_ACAGTG,0,0,0,0,20:DN3,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_ACCAGA,0,0,1,0,12:LNd,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_ACCATG,0,1,19,0,8:LN_ITP,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_ACGTTG,0,0,0,4,18:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_ACTCTG,0,3,0,0,3:DN1a,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_AGGACA,0,0,0,0,25:l_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_AGTGCA,1,0,0,3,18:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CAACAG,0,1,0,0,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CAACTC,0,0,11,0,8:LN_ITP,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CACTCA,0,0,1,7,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CACTTC,0,2,0,0,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CAGAAG,0,0,6,1,25:l_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CATGAG,0,1,2,0,25:l_LNv,2019-07-10,DD,CT06
